Sales Summary: Gross Sales Displayed by Device,iPad cellutionz
1/1/2021,$0.00 
1/2/2021,$32.34 
1/3/2021,$0.00 
1/4/2021,$91.27 
1/5/2021,$123.95 
1/6/2021,$0.00 
1/7/2021,$34.50 
1/8/2021,$869.60 
1/9/2021,$0.00 
1/10/2021,$0.00 
1/11/2021,$58.20 
1/12/2021,$704.99 
1/13/2021,$0.00 
1/14/2021,$43.12 
1/15/2021,$0.00 
1/16/2021,$164.92 
1/17/2021,$0.00 
1/18/2021,$123.97 
1/19/2021,$145.53 
1/20/2021,$229.60 
1/21/2021,$0.00 
1/22/2021,$308.51 
1/23/2021,$190.79 
1/24/2021,$0.00 
1/25/2021,$0.00 
1/26/2021,$54.97 
1/27/2021,$46.34 
1/28/2021,$85.15 
1/29/2021,$388.59 
1/30/2021,$356.98 
1/31/2021,$0.00 
2/1/2021,$304.42 
2/2/2021,$300.43 
2/3/2021,$144.12 
2/4/2021,$134.74 
2/5/2021,$242.21 
2/6/2021,$475.37 
2/7/2021,$0.00 
2/8/2021,$160.19 
2/9/2021,$37.73 
2/10/2021,$0.00 
2/11/2021,$543.30 
2/12/2021,$183.13 
2/13/2021,$0.00 
2/14/2021,$0.00 
2/15/2021,$0.00 
2/16/2021,$140.12 
2/17/2021,$190.80 
2/18/2021,$285.67 
2/19/2021,$0.00 
2/20/2021,$32.34 
2/21/2021,$0.00 
2/22/2021,$124.68 
2/23/2021,$97.01 
2/24/2021,$279.20 
2/25/2021,$181.42 
2/26/2021,$26.95 
2/27/2021,$353.56 
2/28/2021,$0.00 
3/1/2021,$858.20 
3/2/2021,$207.68 
3/3/2021,$129.35 
3/4/2021,$178.95 
3/5/2021,$32.34 
3/6/2021,$418.85 
3/7/2021,$0.00 
3/8/2021,$134.75 
3/9/2021,$433.01 
3/10/2021,$77.30 
3/11/2021,$188.64 
3/12/2021,$126.87 
3/13/2021,$256.55 
3/14/2021,$0.00 
3/15/2021,$91.63 
3/16/2021,$288.89 
3/17/2021,$45.50 
3/18/2021,$396.35 
3/19/2021,"$1,163.38 "
3/20/2021,"$1,051.02 "
3/21/2021,$0.00 
3/22/2021,$177.86 
3/23/2021,$841.92 
3/24/2021,$620.98 
3/25/2021,$43.12 
3/26/2021,$218.82 
3/27/2021,$256.56 
3/28/2021,$0.00 
3/29/2021,$48.51 
3/30/2021,$527.34 
3/31/2021,$173.55 
4/1/2021,$86.23 
4/2/2021,$75.00 
4/3/2021,$92.65 
